Customer_ID,Age,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeat,NumWebPurchases,NumStorePurchases,Response
121,28,69702,1,0,90,312,405,722,16,4,1
122,40,36234,2,1,37,969,56,658,16,11,1
123,46,59780,1,1,82,940,441,684,8,1,0
124,50,96379,1,1,71,104,180,85,19,10,0
125,41,37554,2,0,79,468,361,496,13,9,1
126,62,95737,0,0,45,439,26,8,16,2,1
127,68,76387,2,0,78,278,493,90,3,15,0
128,24,59629,0,0,99,438,244,997,16,13,0
129,38,72793,0,1,40,973,303,205,0,15,1
130,64,48547,2,0,61,344,213,7,1,6,0
131,21,58833,0,1,8,980,373,54,2,12,0
132,25,89738,0,0,57,513,451,879,19,5,1
133,59,96623,2,1,35,213,133,888,7,3,1
134,29,63558,1,1,5,950,280,609,14,10,0
135,47,45255,2,1,19,439,454,192,9,4,0
136,30,27260,2,0,74,754,439,330,2,8,0
137,51,81087,0,1,42,720,27,307,5,6,1
138,23,89451,2,1,34,80,148,7,6,16,0
139,68,50975,2,1,64,46,367,92,2,9,1
140,66,63172,0,1,24,613,186,555,5,12,1
141,22,42443,1,1,80,874,73,443,7,15,0
142,23,96456,0,0,66,314,447,852,1,18,1
143,55,33530,2,1,1,352,108,490,11,8,1
144,23,46408,1,1,90,666,291,259,8,12,1
145,30,87209,1,1,37,759,103,215,17,11,1
146,64,34552,2,0,29,395,448,95,8,2,0
147,61,89490,2,1,54,35,479,563,17,9,1
148,52,51223,2,0,90,537,408,67,18,1,0
149,30,47925,0,1,70,69,305,19,3,11,1
150,29,73923,1,0,67,690,200,913,3,18,1
151,34,62251,0,0,79,67,322,763,16,2,0
152,50,93480,1,1,41,186,242,365,4,9,1
153,28,98653,1,1,90,806,297,372,17,6,1
154,21,64706,2,0,88,425,116,208,11,12,1
155,60,65402,2,0,42,671,205,632,19,9,0
156,62,66708,2,1,25,193,293,896,5,19,1
157,39,77307,2,0,37,360,266,206,6,19,1
158,49,78218,2,0,15,182,218,909,8,6,0
159,37,46796,1,1,59,122,357,352,4,16,1
160,68,82469,2,0,55,558,230,140,12,7,0
161,41,73395,1,0,40,406,301,615,13,14,1
162,44,57540,2,1,18,302,175,662,17,2,1
163,68,83536,1,0,80,469,349,399,17,8,1
164,66,95367,0,0,6,565,32,557,14,12,1
165,38,36942,2,0,83,668,341,207,11,11,1
166,28,95763,1,0,93,412,149,416,10,11,0
167,31,76848,2,0,44,600,376,392,17,11,1
168,26,62165,2,0,77,289,3,634,3,13,0
169,32,72164,0,0,52,523,196,78,4,9,1
170,30,87208,1,0,71,683,182,504,16,6,1
171,40,85005,1,1,27,754,371,884,3,9,0
172,54,61962,1,0,11,86,99,556,11,8,0
173,54,46768,0,1,28,240,12,616,16,6,1
174,36,81149,0,1,38,210,163,204,19,19,1
175,31,32080,2,1,76,88,29,825,2,1,0
176,27,88578,0,1,48,906,250,863,4,3,0
177,29,99739,2,1,30,26,278,4,12,16,0
178,57,67312,0,0,8,958,300,784,16,6,0
179,54,63026,0,0,16,675,488,585,15,10,0
180,28,80282,0,1,29,307,54,339,6,14,1
181,29,45783,1,1,99,24,325,451,14,15,0
182,49,35530,0,0,98,207,33,927,12,16,0
183,61,65262,2,1,28,1,308,682,3,3,1
184,63,82644,2,1,67,825,253,417,2,12,1
185,54,24295,0,1,43,876,488,366,1,13,1
186,35,29299,1,1,23,723,104,278,18,15,1
187,33,76477,0,1,17,577,89,56,4,1,0
188,60,93941,2,1,87,638,9,442,17,3,1
189,60,76021,2,0,91,648,215,36,8,16,1
190,27,61829,1,0,70,665,201,100,2,3,1
191,69,41064,0,1,10,750,145,669,4,5,1
192,67,85593,1,0,92,264,187,710,4,14,0
193,32,49956,1,0,60,779,261,315,2,10,0
194,40,68791,2,1,41,567,128,28,8,16,1
195,66,50167,1,1,14,841,102,910,18,0,1
196,49,91609,0,1,85,905,283,348,12,2,0
197,68,57398,1,1,64,541,5,216,10,19,0
198,66,46447,1,1,70,662,30,592,0,16,1
199,61,60732,2,1,61,817,399,982,8,15,1
200,38,22428,1,0,21,606,391,141,12,17,0
201,29,90808,2,1,58,932,230,361,12,6,1
202,61,84611,1,0,38,121,401,353,3,19,0
203,49,53057,2,1,7,589,405,655,5,16,0
204,35,77568,1,1,70,438,179,447,19,1,1
205,42,77553,0,0,14,37,339,653,12,7,1
206,44,96319,0,0,35,440,157,955,5,13,1
207,62,91543,0,1,45,66,225,140,1,5,0
208,48,29708,1,0,85,869,213,413,1,14,0
209,63,92903,2,0,99,262,228,36,7,19,0
210,57,55415,1,0,52,860,492,859,18,19,0
211,68,35774,0,0,48,40,97,743,11,1,1
212,62,67197,0,1,10,685,231,265,0,17,0
213,41,57639,1,0,67,400,151,276,6,18,0
214,40,73348,1,1,29,206,104,895,19,10,1
215,28,63923,2,0,9,543,129,198,1,14,0
216,61,47404,1,0,67,584,332,599,12,18,1
217,51,87737,0,1,73,337,448,638,12,14,0
218,67,73572,0,0,90,599,432,645,13,9,1
219,43,28260,0,1,58,60,163,551,3,11,1
220,18,58085,1,1,15,186,103,270,9,0,0
221,26,59694,0,0,37,297,194,721,8,9,1
222,69,93985,0,1,82,209,12,974,6,11,0
223,43,85565,0,1,83,168,186,775,18,10,1
224,32,24033,2,0,36,691,322,834,0,11,1
225,22,52551,0,0,23,189,173,85,12,6,1
226,51,91607,2,0,6,848,497,413,0,3,0
227,52,31479,0,0,42,443,99,392,15,15,1
228,57,68583,1,1,75,642,227,889,3,16,1
229,35,96390,1,0,95,762,68,747,7,8,0
230,34,83502,2,1,93,846,454,14,1,5,0
231,43,92932,2,1,25,926,23,227,19,7,1
232,23,21858,0,0,50,802,324,476,15,15,0
233,51,76988,0,1,33,815,464,607,1,5,1
234,63,84538,2,1,74,856,307,275,3,19,1
235,44,39865,0,1,20,147,424,385,18,3,0
236,45,70460,2,1,26,731,392,292,7,9,1
237,50,36717,1,0,25,295,321,970,18,6,1
238,65,95403,1,1,95,878,473,837,16,0,0
239,26,51207,1,1,43,47,478,38,19,8,0
240,35,51561,1,0,54,698,130,483,11,3,1
241,37,29002,0,0,25,964,19,138,17,16,1
242,19,69739,2,0,89,391,243,650,0,13,1
243,59,71576,2,0,32,740,405,31,10,16,1
244,31,45184,2,0,85,292,160,2,5,9,0
245,45,67468,2,0,3,66,408,365,0,1,1
246,69,63495,2,0,85,998,3,10,9,2,1
247,21,79104,0,0,95,930,47,474,0,17,1
248,20,62060,1,1,72,10,66,64,9,2,0
249,69,83298,0,0,1,403,207,677,19,12,0
250,25,64901,1,0,19,742,52,495,16,13,1
251,48,29058,1,1,44,215,377,31,8,10,0
252,30,63381,1,0,20,560,371,218,15,9,1
253,41,20231,0,0,9,981,158,299,6,16,0
254,56,40976,0,0,11,308,476,349,3,19,1
255,40,24882,0,1,84,18,409,828,15,8,1
256,22,57755,2,1,54,202,187,252,18,10,1
257,23,62795,1,0,97,295,270,589,18,9,0
258,36,54647,0,1,45,172,44,79,14,2,0
259,66,55756,0,1,97,682,271,96,7,16,0
260,21,40471,0,0,61,133,11,784,4,10,1
261,52,42479,2,1,96,115,498,555,0,6,1
262,35,97052,1,0,9,286,264,635,1,14,0
263,48,35792,2,1,63,753,404,296,18,8,0
264,63,95271,1,0,22,894,49,993,8,10,1
265,54,51099,2,0,55,793,492,555,18,0,1
266,53,32460,2,1,45,924,333,143,1,16,0
267,47,20149,1,1,27,420,304,67,13,5,1
268,36,87050,2,0,67,746,72,283,4,14,1
269,43,99033,2,0,7,807,126,785,0,4,1
270,41,86244,1,1,99,879,290,182,4,13,0
271,34,32656,1,0,9,54,155,933,15,1,0
272,21,23921,0,1,78,619,129,206,16,10,0
273,43,94951,0,1,1,333,404,187,16,9,1
274,28,32243,2,0,31,724,167,470,3,7,0
275,18,65078,2,1,97,504,388,874,12,2,1
276,61,93970,0,0,59,808,172,604,18,4,0
277,34,90028,1,1,26,853,195,485,10,11,1
278,60,65035,0,1,54,550,236,68,18,14,1
279,68,75842,1,1,11,79,118,514,4,1,1
280,48,74863,0,1,22,81,238,339,7,11,1
281,52,73914,0,1,8,270,377,971,4,15,1
282,45,31425,1,0,28,321,419,171,19,16,0
283,45,59585,0,1,20,784,193,354,12,5,1
284,23,66885,0,1,59,925,171,375,19,5,1
285,30,21945,2,1,58,858,74,165,1,17,1
286,33,89460,2,0,25,727,9,63,11,2,1
287,43,39239,1,1,48,283,30,550,17,4,0
288,40,60569,2,1,46,557,476,456,17,18,1
289,45,49421,0,1,55,7,408,642,4,17,0
290,68,98961,1,0,89,191,347,486,5,18,0
291,42,89425,0,1,48,212,223,526,17,15,1
292,53,66803,0,0,44,892,328,495,1,3,0
293,47,24384,0,1,72,413,27,22,6,1,0
294,65,25520,1,0,46,822,268,343,5,7,0
295,59,56748,2,0,29,558,480,170,5,10,1
296,36,74927,0,1,33,178,491,620,5,2,0
297,56,40262,0,0,17,724,144,46,4,4,0
298,64,57353,1,1,64,160,328,773,18,9,1
299,53,59277,0,1,70,772,130,208,18,2,0
300,46,76038,2,1,33,402,84,523,13,17,1
301,25,53978,2,1,11,910,189,464,10,5,1
302,66,72199,2,1,58,336,67,148,19,18,1
303,48,88160,0,1,42,261,62,817,14,14,0
304,61,81166,2,1,51,753,91,201,19,15,1
305,19,31073,2,1,40,554,446,259,6,11,1
306,51,97324,0,1,41,582,273,701,1,12,0
307,51,96204,1,0,35,308,154,103,11,1,1
308,48,45955,2,0,23,806,397,56,10,16,0
309,18,85406,2,1,54,827,361,995,19,16,0
310,61,85425,1,1,41,336,447,939,9,19,1
311,45,65516,0,1,73,539,233,618,8,9,1
312,59,89157,2,1,39,356,121,455,12,4,1
313,63,71769,2,1,89,449,365,559,5,1,0
314,26,94005,2,1,5,382,180,634,14,3,0
315,33,37131,2,1,97,522,152,181,3,15,0
316,45,25450,0,0,35,486,492,358,5,13,1
317,65,58147,2,1,59,905,311,296,14,2,0
318,27,28371,1,0,13,993,363,48,12,7,1
319,63,22602,2,0,59,405,440,19,18,1,1
320,69,58773,0,0,36,227,101,186,2,5,0
321,47,89057,0,0,71,439,260,165,5,0,0
322,64,86232,2,0,27,263,9,366,3,2,0
323,37,42943,1,1,26,820,475,63,0,19,1
324,26,63338,2,1,55,930,283,140,4,16,0
325,18,29581,1,1,2,253,248,379,0,2,0
326,49,85405,2,1,6,491,314,297,2,16,1
327,50,84140,1,1,28,51,278,313,6,10,0
328,53,57776,2,0,80,469,398,716,19,17,0
329,60,60087,2,1,4,498,105,674,2,3,0
330,48,27048,1,1,58,98,188,817,15,1,0
331,62,40176,1,0,87,116,492,854,0,5,1
332,35,81408,1,0,4,117,236,556,3,16,1
333,46,21759,2,0,23,292,483,98,4,18,0
334,47,53688,0,0,25,804,29,634,14,6,1
335,69,60545,1,1,83,884,439,287,13,2,0
336,68,70767,0,1,32,679,112,917,15,15,0
337,43,51051,2,1,75,369,20,422,8,11,0
338,67,70601,2,1,94,841,294,58,14,2,0
339,51,74331,1,1,94,245,279,330,2,1,0
340,48,83629,1,0,57,445,290,856,17,5,1
341,19,61492,0,1,43,446,15,597,3,15,0
342,30,22507,2,1,72,666,146,739,0,1,0
343,63,38710,2,0,43,506,448,162,0,19,0
344,66,48888,0,1,79,133,10,326,14,16,0
345,29,69608,2,0,50,953,475,447,17,19,1
346,61,99141,2,1,28,547,232,946,8,17,1
347,46,75487,2,1,50,826,397,571,10,0,1
348,60,23480,0,1,77,115,475,439,7,2,1
349,53,29396,0,0,14,97,368,535,5,1,0
350,42,30514,0,0,27,412,119,664,7,1,0
351,49,30935,0,0,62,991,187,579,4,2,1
352,22,20563,1,0,91,704,116,235,8,3,0
353,31,50247,2,0,69,788,112,718,4,1,0
354,24,55725,0,0,16,948,338,709,5,12,0
355,18,99959,1,1,49,523,50,390,0,16,0
356,53,93443,0,0,82,894,129,712,15,6,0
357,29,36156,1,1,88,249,168,438,18,10,0
358,51,62997,1,1,32,732,274,452,1,1,1
359,42,35264,0,0,14,886,459,224,13,10,0
360,40,98698,1,1,7,844,57,744,1,4,1
361,52,60357,0,0,9,441,284,289,12,11,0
362,62,68598,0,1,36,849,188,862,10,8,1
363,38,27118,0,1,36,676,228,786,8,8,1
364,31,33187,2,0,25,622,403,941,9,9,1
365,38,75972,0,1,1,88,120,673,7,2,0
366,44,99141,0,0,82,355,176,978,18,19,0
367,48,49641,1,1,92,59,20,468,19,9,1
368,58,59272,2,0,25,813,323,187,17,6,1
369,54,48324,0,0,6,128,340,25,16,3,1
370,44,31723,1,0,76,242,484,890,11,8,0
371,42,91774,2,0,27,663,290,243,10,0,0
372,35,66011,1,1,67,389,83,128,15,17,0
373,19,29794,1,0,96,569,41,575,14,6,0
374,22,26801,0,0,50,789,236,574,15,2,1
375,21,64837,0,0,34,124,127,916,6,6,1
376,57,82033,0,0,85,512,96,269,4,3,1
377,21,66755,0,1,16,409,14,384,3,10,0
378,45,98352,1,1,49,304,203,779,2,4,0
379,24,43902,2,0,85,991,255,851,12,16,0
380,31,28500,0,0,84,57,258,212,4,16,1
381,42,98918,1,1,95,380,395,896,18,10,1
382,33,70478,1,0,66,865,454,646,1,0,0
383,66,88795,1,1,26,613,472,230,3,8,0
384,38,76716,1,1,11,684,242,461,10,17,0
385,33,60536,2,0,28,278,11,180,3,7,1
386,30,71315,2,1,14,845,262,25,15,18,1
387,53,36328,2,0,22,745,450,439,5,1,0
388,29,75746,0,1,97,911,263,30,11,3,0
389,18,84329,0,0,36,230,343,891,3,15,1
390,56,77503,1,0,89,546,31,503,19,7,1
391,40,66214,0,1,5,484,467,913,3,15,1
392,53,79705,0,0,3,285,257,881,9,16,0
393,43,75568,0,0,60,63,47,795,6,11,0
394,22,85875,1,0,95,729,437,562,0,8,0
395,29,49755,0,0,24,981,59,605,11,7,1
396,63,54008,0,1,60,489,20,26,0,16,1
397,35,51855,0,0,4,287,405,795,5,0,1
398,58,91094,1,0,71,49,466,275,3,4,1
399,51,41997,0,1,68,514,14,976,17,2,1
400,57,96367,1,0,32,626,30,733,11,17,1
401,45,99259,0,1,46,734,120,519,19,18,1
402,23,78296,0,1,66,859,443,146,17,11,1
403,61,63269,0,1,68,190,437,502,0,11,1
404,58,64299,1,1,31,826,66,96,16,9,0
405,51,91283,0,1,66,988,77,106,9,13,1
406,53,60993,0,1,44,9,94,177,19,2,0
407,45,87387,1,0,81,568,171,879,7,16,1
408,46,81760,2,0,18,278,93,428,0,12,1
409,26,70939,0,1,88,316,50,186,10,7,1
410,21,82802,0,0,16,440,32,717,4,6,1
411,61,75738,2,1,13,897,115,412,0,13,1
412,67,59760,1,0,38,51,313,94,16,15,1
413,18,56980,0,1,22,818,400,607,11,2,0
414,36,65584,2,1,14,681,327,689,10,17,0
415,56,72365,1,0,77,758,240,682,4,13,0
416,28,66138,1,0,77,18,74,50,1,4,1
417,50,26053,1,0,85,879,21,64,18,0,1
418,41,76560,0,0,56,549,60,869,11,2,0
419,64,28506,1,1,40,302,121,680,2,12,0
420,66,46340,2,1,81,436,459,641,7,3,0
421,67,68673,1,1,97,796,0,41,7,7,0
422,48,50237,0,1,44,200,46,239,12,13,1
423,49,20846,0,0,83,382,166,39,3,16,0
424,34,73919,1,0,56,876,426,964,6,0,0
425,39,91508,0,1,55,825,430,370,9,18,1
426,61,46287,2,0,90,530,430,790,6,8,0
427,32,76299,0,0,62,511,45,803,5,9,0
428,33,44967,0,1,74,572,451,394,6,5,1
429,52,38859,1,0,49,624,78,60,8,1,0
430,38,30230,2,1,62,527,150,898,11,0,0
431,31,47170,0,0,50,49,72,562,1,11,0
432,35,85489,0,0,34,851,155,310,13,10,0
433,56,27553,2,1,35,861,405,843,7,5,1
434,60,86883,0,0,69,562,445,415,13,4,0
435,49,92321,2,1,46,926,130,499,4,10,1
436,33,66199,1,1,66,157,441,562,6,14,1
437,62,29203,0,0,36,901,27,545,9,17,0
438,19,60558,1,1,64,302,102,115,7,1,0
439,42,34481,2,0,57,916,183,920,10,1,1
440,65,73492,2,0,29,880,361,57,12,8,0
441,58,54384,1,0,94,463,74,92,8,3,1
442,29,83528,0,1,20,408,395,858,6,3,0
443,22,33786,0,1,36,525,435,298,0,4,1
444,30,28500,2,0,79,338,353,834,18,5,0
445,67,34524,0,1,49,245,482,982,4,1,0
446,38,72425,1,0,74,208,345,390,3,9,1
447,45,37697,1,0,25,932,236,98,10,8,0
448,40,56287,2,0,4,13,345,586,12,5,1
449,33,64894,2,0,76,554,382,280,0,2,1
450,42,55076,1,1,51,77,39,150,5,17,0
451,30,52927,1,1,83,192,159,550,14,8,1
452,25,51377,1,0,41,295,435,460,11,3,0
453,28,70795,1,1,95,270,97,113,18,4,0
454,41,76877,0,1,27,126,192,618,3,13,1
455,58,74910,1,1,40,119,479,109,7,18,1
456,31,80989,1,0,52,984,320,380,1,1,1
457,33,99987,1,1,40,728,138,69,6,1,0
458,49,66254,2,1,85,652,115,335,12,12,0
459,51,77334,2,1,59,599,25,813,11,9,1
460,20,57966,2,0,15,921,485,86,1,1,0
461,37,85346,1,1,8,291,397,200,17,19,1
462,22,93150,0,1,56,471,426,471,5,13,0
463,49,93719,1,1,47,462,286,973,4,17,1
464,30,35699,0,0,6,134,412,455,0,9,0
465,27,33767,1,0,87,675,453,120,18,10,0
466,56,23615,1,1,18,773,202,730,15,0,0
467,39,56902,1,0,12,274,174,568,11,6,1
468,27,91323,1,0,41,428,389,273,14,10,1
469,44,35521,0,0,79,81,202,462,1,14,1
470,31,59413,0,0,88,318,90,851,12,11,0
471,60,96953,0,0,58,371,88,696,14,18,0
472,33,46021,2,0,55,467,339,147,6,17,1
473,32,59052,2,0,58,823,161,30,3,15,0
474,21,31444,0,1,62,662,11,183,14,17,0
475,24,59979,0,0,76,267,4,554,19,18,0
476,30,64679,1,0,28,774,342,112,12,16,0
477,43,53328,2,0,47,866,29,853,13,3,0
478,26,37885,0,0,48,55,105,460,0,1,0
479,19,39106,0,0,58,332,43,640,17,1,1
480,42,36374,0,0,23,324,282,550,0,1,1
481,43,60299,2,0,59,908,189,813,9,6,0
482,31,94507,1,1,87,321,247,931,3,2,0
483,46,64389,2,0,31,644,96,709,9,6,1
484,20,69273,0,0,7,104,426,125,14,15,1
485,25,40204,0,0,83,22,141,978,14,7,1
486,59,69137,0,1,46,556,265,497,18,17,1
487,39,88551,2,0,36,482,408,130,17,19,1
488,32,75790,0,1,36,549,63,722,7,11,1
489,25,68078,2,0,99,494,33,141,18,15,1
490,53,29111,0,0,35,423,478,588,5,4,1
491,55,59388,2,1,27,27,246,420,14,3,0
492,26,32573,1,1,33,838,483,585,3,15,1
493,54,84388,0,1,79,797,138,615,4,17,0
494,30,27099,0,0,27,338,227,236,2,9,0
495,48,52044,0,1,25,828,359,487,10,2,0
496,24,60278,1,0,15,197,220,579,15,15,0
497,23,49297,1,1,72,430,375,225,19,7,1
498,54,82203,2,1,70,801,125,303,15,2,0
499,56,51027,2,0,65,886,198,687,13,1,0
500,63,97946,2,1,65,121,266,654,3,5,1
